TradeId,Expiry,CP,2weeks2Mat,Strike,LocalCap,Book,Notional,PresentValueT0,assetId,deltaT0,gammaT0,vegaT0,PresentValueT1,deltaT1,gammaT1,vegaT1,dPx,ddelta,dgamma,dvega
744214,2022-04-20,WCMB,29,1384.15,11.3,AXADESCS,1570000,60373.98904,.RUT,0 ,-0.01,-5478.12,56638.04,0.07,0.00,-5787.27,0.002379583,1.13566E-07,-3.44562E-09,0.000196913
746959,2022-05-04,WCMB,30,1388.846,11.3,AXADESCS,4136000,450551.5794,.RUT,5 ,-0.05,-6689.50,457779.28,4.36,-0.03,-14759.83,-0.00174751,8.4632E-08,-4.97219E-09,0.001951242
749775,2022-05-18,SCN,31,1361.077,11.1,AXADESCS,7940000,1378547.355,.RUT,31 ,-0.18,-31717.52,1374410.01,28.31,-0.11,-31287.26,0.000521076,3.49136E-07,-8.38244E-09,-5.41898E-05
758062,2022-06-15,BOA,33,1410.084,11.3,AXADESCS,9599000,2043021.946,.RUT,105 ,-0.09,-42070.11,2043170.50,87.12,-0.16,-41123.01,-1.54763E-05,1.89277E-06,6.5124E-09,-9.86668E-05
762354,2022-07-06,GSFM,34,1400.815,11.3,AXADESCS,11949000,2509253.251,.RUT,153 ,-0.50,-53659.81,2544809.47,133.67,-0.11,-49536.04,-0.002975665,1.6441E-06,-3.24728E-08,-0.000345114
764740,2022-07-20,WMST,35,1442.354,10.7,AXADESCS,7950000,1532429.327,.RUT,139 ,-0.43,-37035.70,1542840.97,124.72,-0.65,-36509.77,-0.00130964,1.76721E-06,2.84569E-08,-6.61553E-05
764742,2023-07-19,WMST,61,1442.354,11.7,AXADESCS,45000,9567.182618,.RUT,1 ,0.00,-340.13,9570.62,0.71,0.00,-343.02,-7.63612E-05,2.20329E-06,5.20664E-08,6.41698E-05
766956,2022-08-03,WCMB,36,1405.229,10.6,AXADESCS,7282000,1379972.228,.RUT,178 ,-0.88,-35087.01,1390152.42,173.07,-0.52,-34523.43,-0.001397993,6.7255E-07,-4.9213E-08,-7.73941E-05
769137,2022-08-17,GSFM,37,1358.94,10.9,AXADESCS,10226000,2568350.843,.RUT,297 ,-1.04,-54007.90,2601542.07,282.43,-0.53,-50860.57,-0.003245768,1.39246E-06,-5.05159E-08,-0.000307776
769139,2023-08-16,GSFM,63,1358.94,11.3,AXADESCS,712000,181019.6833,.RUT,20 ,-0.09,-5760.42,181927.67,20.33,-0.04,-5543.39,-0.001275264,-5.32165E-07,-7.09254E-08,-0.000304823
772403,2022-08-31,GSFM,38,1398.674,9.6,AXADESCS,10171000,1990398.283,.RUT,315 ,-1.02,-53678.46,1999229.91,298.74,-0.41,-52387.23,-0.000868315,1.58961E-06,-6.06272E-08,-0.000126952
775248,2022-09-14,GSFM,39,1444.184,9.7,AXADESCS,8074000,1327764.104,.RUT,233 ,-0.74,-40942.33,1344485.61,222.93,-0.52,-39624.30,-0.002071032,1.27797E-06,-2.67986E-08,-0.000163244
775250,2023-09-20,GSFM,66,1444.184,10.3,AXADESCS,2301000,399205.131,.RUT,69 ,-0.12,-17971.22,387876.20,64.79,-0.25,-18256.71,0.004923479,1.94388E-06,5.63456E-08,0.000124072
793799,2022-12-14,SCN,46,1547.107,9.8,AXADESCS,9068000,1829482.92,.RUT,890 ,-1.03,-64429.72,1863460.86,840.39,-2.34,-63138.94,-0.003747016,5.48411E-06,1.44433E-07,-0.000142344
793805,2023-12-20,SCN,72,1547.107,10.5,AXADESCS,4767000,1062955.663,.RUT,491 ,-0.52,-44612.67,1064701.95,465.67,-1.14,-42848.60,-0.000366328,5.21255E-06,1.31211E-07,-0.000370058
795936,2023-01-04,CSFI,47,1555.724,9.5,AXADESCS,7479000,1313249.794,.RUT,865 ,-1.99,-52473.46,1355019.96,850.51,-2.12,-51620.40,-0.005584994,1.95278E-06,1.69269E-08,-0.000114061
795938,2024-01-03,CSFI,73,1555.724,10.4,AXADESCS,2652000,537792.9185,.RUT,334 ,-1.09,-24234.46,536274.10,326.82,-1.46,-24625.40,0.000572709,2.6868E-06,1.38548E-07,0.000147416
798608,2023-01-18,SCN,48,1576.729,10.6,AXADESCS,7505000,1733333.715,.RUT,"1,217 ",-2.95,-56221.80,1756754.71,1197.07,-1.36,-54050.72,-0.003120718,2.63908E-06,-2.11771E-07,-0.000289285
798610,2024-01-17,SCN,74,1576.729,11.5,AXADESCS,2467000,638724.7686,.RUT,422 ,-0.62,-23940.81,642686.95,425.54,-0.50,-23386.29,-0.001606073,-1.336E-06,-4.86594E-08,-0.000224776
